ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AOL02446__KX583629.1	KX583629.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KX583629.1	Dependoparvovirus	unclassified Dependoparvovirus	KX583629.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AOL02446	KX583629.1	AOL02446	AOL02446__KX583629.1_Species 46
APC23164__KT961659.1	KT961659.1_Simian erythroparvovirus 2	1920706	Simian erythroparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	KT961659.1	Erythroparvovirus	unclassified Erythrovirus	KT961659.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	APC23164	KT961659.1	APC23164	APC23164__KT961659.1_Species 3
YP_009215301__KP729195	KP729195_Rabbit bocaparvovirus	1769949	Rabbit bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KP729195	Bocaparvovirus	unclassified Bocaparvovirus	KP729195_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009215301	KP729195	YP_009215301,ALT04901	YP_009215301__KP729195_Species 14
YP_009229908__KT592508	KT592508_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT592508	Bocaparvovirus	unclassified Bocaparvovirus	KT592508_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009229908	KT592508	YP_009229908,AMD43872	YP_009229908__KT592508_Species 14
AJE25860__KP264971.1	KP264971.1_Bovine parvovirus - 2	172296	Bovine parvovirus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	KP264971.1	Copiparvovirus	Ungulate copiparvovirus 1	KP264971.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	AJE25860	KP264971.1	AJE25860,APC23635	AJE25860__KP264971.1_Species 23
ACU30841__GQ368252.1	GQ368252.1_Avian adeno-associated virus	341671	Avian adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1	GQ368252.1	Dependoparvovirus	Avian dependoparvovirus 1	GQ368252.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1	ACU30841	GQ368252.1	ACU30841,AHK22792,YP_077182,AAT48614,NP_852780,AAT48612,AAO32086	ACU30841__GQ368252.1_Species 46
AHK26989__KF025386.1	KF025386.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025386.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025386.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26989	KF025386.1	AHK26989,AHK27046	AHK26989__KF025386.1_Species 31
ATV81493__MF682923.1	MF682923.1_Rhinolophus pusillus bocaparvovirus 2	2053080	Rhinolophus pusillus bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682923.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682923.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81493	MF682923.1	ATV81493	ATV81493__MF682923.1_Species 34
YP_009272915__KU950356	KU950356_Mink bocavirus	1891972	Mink bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU950356	Bocaparvovirus	unclassified Bocaparvovirus	KU950356_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009272915	KU950356	YP_009272915,AOF39990,YP_009272916,AOF39991	YP_009272915__KU950356_Species 34
NP_044927__U89790	U89790_Adeno-associated virus - 4	57579	Adeno-associated virus - 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	U89790	Dependoparvovirus	Adeno-associated dependoparvovirus A	U89790_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	NP_044927	U89790	NP_044927,AAC58045,2G8GA	NP_044927__U89790_Species 20
